	109	111
r5.power.n.07182	1	1
r5.power.n.07183	1	1
r5.power.n.07184	8	8
r5.power.n.07185	1	8
r5.power.n.07187	1	1
r5.power.n.07188	1	1
r5.power.n.07189	1	4
r5.power.n.07191	4	1
r5.power.n.07193	1	1
r5.power.n.07195	1&&3	1
r5.power.n.07196	1	4
r5.power.n.07197	1	4
r5.power.n.07198	1	1
r5.power.n.07199	7	7
r5.power.n.07200	1	10
r5.power.n.07202	1	8
r5.power.n.07203	7	7
r5.power.n.07204	1&&7	45
r5.power.n.07205	47	9
r5.power.n.07207	3	3
r5.power.n.07208	47	9
r5.power.n.07211	7	45
r5.power.n.07212	5	4
r5.power.n.07216	47	9
r5.power.n.07231	47	1
r5.power.n.07233	1&&4	1
r5.power.n.07236	1	1
r5.power.n.07237	1	1
r5.power.n.07239	46	45
r5.power.n.07240	46	45
r5.power.n.07243	7	45
r5.power.n.07244	1	1
r5.power.n.07249	47	1
r5.power.n.07255	3	3
r5.power.n.07259	1	1
r5.power.n.07260	3	1
r5.power.n.07263	1&&4	4
r5.power.n.07265	1&&3	1
r5.power.n.07269	1	4
r5.power.n.07274	1	1
r5.power.n.07275	1	4
r5.power.n.07277	1	1
r5.power.n.07280	1	8
r5.power.n.07281	1	1
r5.power.n.07284	1&&4	4
r5.power.n.07287	1	1
r5.power.n.07290	1	1
r5.power.n.07292	1	1
r5.power.n.07293	3	3
r5.power.n.07294	46	45
r5.power.n.07295	1	1
r5.power.n.07299	1&&3	3
r5.power.n.07300	1	8
r5.power.n.07301	3	1
r5.power.n.07303	1	1
r5.power.n.07305	3	1
r5.power.n.07306	8	4
r5.power.n.07308	1	1
r5.power.n.07313	1&&3	3
r5.power.n.07314	1	1
r5.power.n.07315	1	1
r5.power.n.07316	3	1
r5.power.n.07318	1&&3	1
r5.power.n.07319	1	1
r5.power.n.07320	1	1
r5.power.n.07322	1	1
r5.power.n.07323	47	9
r5.power.n.07325	4	4
r5.power.n.07326	3	8
r5.power.n.07328	3	8
r5.power.n.07331	47	7
r5.power.n.07333	1	7
r5.power.n.07335	8	8
r5.power.n.07337	46	45
r5.power.n.07338	1&&4	4
r5.power.n.07341	3	3
r5.power.n.07342	1	1
r5.power.n.07343	1	1
r5.power.n.07346	1	1
r5.power.n.07348	1	1
r5.power.n.07349	5	5
r5.power.n.07351	47	9
r5.power.n.07355	1	1
r5.power.n.07356	1	8
r5.power.n.07358	1	1
r5.power.n.07359	3	1
r5.power.n.07360	1	4
r5.power.n.07361	1	1
r5.power.n.07363	1	4
r5.power.n.07364	47	9
r5.power.n.07365	1	4
r5.power.n.07366	46	45
r5.power.n.07368	3	7
r5.power.n.07371	1	1
r5.power.n.07372	1	4
r5.power.n.07373	3	5
r5.power.n.07374	46	1
r5.power.n.07375	1	5
r5.power.n.07377	1	1
r5.power.n.07378	1&&3	1
r5.power.n.07381	47	9
r5.power.n.07382	8	8
r5.power.n.07385	1	3
r5.power.n.07386	1	3
r5.power.n.07389	3	1
r5.power.n.07391	46	9
r5.power.n.07393	47	9
r5.power.n.07396	1	1
r5.power.n.07399	47	9
r5.power.n.07405	3	5
r5.power.n.07406	7	5
r5.power.n.07408	1	1
r5.power.n.07409	1	1
r5.power.n.07411	3	5
r5.power.n.07412	3	5
r5.power.n.07413	3	3
r5.power.n.07414	1&&3	3
r5.power.n.07417	5	5
r5.power.n.07420	8	8
r5.power.n.07421	1	1
r5.power.n.07423	1	5
r5.power.n.07424	3	1
r5.power.n.07425	1&&3	1
r5.power.n.07426	1	1
r5.power.n.07428	3	1
r5.power.n.07429	3	3
r5.power.n.07430	8	8
r5.power.n.07431	1	1
r5.power.n.07433	1	5
r5.power.n.07434	1	9
r5.power.n.07435	3	1
r5.power.n.07437	1	1
r5.power.n.07440	1	1
r5.power.n.07443	1	1
r5.power.n.07444	47	1
r5.power.n.07445	1	1
r5.power.n.07446	5	5
r5.power.n.07447	1	5
r5.power.n.07449	1	1
r5.power.n.07451	1	1
r5.power.n.07456	3	1
r5.power.n.07457	3	1
r5.power.n.07459	3	1
r5.power.n.07461	1	1
r5.power.n.07462	1	1
r5.power.n.07463	1	1
r5.power.n.07466	5	5
r5.power.n.07467	1	1
r5.power.n.07469	1&&3	1
r5.power.n.07470	1	1
r5.power.n.07472	1&&3	1
r5.power.n.07473	1	1
r5.power.n.07476	1	1
r5.power.n.07482	1	1
r5.power.n.07484	1&&7	7
r5.power.n.07485	47	1
r5.power.n.07486	1	1
r5.power.n.07487	1	1
r5.power.n.07488	1	4
r5.power.n.07489	5	4
r5.power.n.07490	47	6
r5.power.n.07492	47	6
r5.power.n.07493	47	6
r5.power.n.07494	47	6
r5.power.n.07497	47	9
r5.power.n.07500	6	6
r5.power.n.07503	44	2
r5.power.n.07504	44	2
r5.power.n.07508	7	1
r5.power.n.07509	44	2
r5.power.n.07512	44	2
r5.power.n.07514	44	2
r5.power.n.07515	6	6
r5.power.n.07516	6	6
r5.power.n.07517	6	9
r5.power.n.07520	47	9
r5.power.n.07521	6	6
r5.power.n.07522	6	6
r5.power.n.07524	46	1
r5.power.n.07525	6	6
r5.power.n.07528	47	6
r5.power.n.07530	6	6
r5.power.n.07532	47	6
r5.power.n.07537	47	6
r5.power.n.07538	47	6
r5.power.n.07539	47	6
r5.power.n.07542	6	6
r5.power.n.07544	47	6
r5.power.n.07545	47	6
r5.power.n.07546	47	6
r5.power.n.07547	47	6
r5.power.n.07552	47	6
r5.power.n.07553	47	6
r5.power.n.07555	47	6
r5.power.n.07557	47	6
r5.power.n.07559	47	6
r5.power.n.07560	47	6
r5.power.n.07562	47	6
r5.power.n.07563	47	6
r5.power.n.07564	47	6
r5.power.n.07565	6	6
r5.power.n.07566	47	6
r5.power.n.07568	1	1
r5.power.n.07570	1&&7	8
r5.power.n.07572	3&&4	3
r5.power.n.07576	1&&4	3
r5.power.n.07578	3	1
r5.power.n.07582	3	1
r5.power.n.07583	3	6
r5.power.n.07584	1	6
r5.power.n.07585	2	6
r5.power.n.07586	3	6
r5.power.n.07591	6	6
r5.power.n.07592	3	6
r5.power.n.07593	1	6
r5.power.n.07597	3	3
r5.power.n.07600	3	6
r5.power.n.07601	3	6
r5.power.n.07602	3	6
r5.power.n.07603	3	1
r5.power.n.07604	3	6
r5.power.n.07608	3	3
r5.power.n.07612	3	6
r5.power.n.07613	3	6
r5.power.n.07615	44	6
r5.power.n.07617	44	6
r5.power.n.07618	44	6
r5.power.n.07619	44	6
r5.power.n.07622	3	6
r5.power.n.07626	44	6
r5.power.n.07627	2	1
r5.power.n.07628	1	1
r5.power.n.07629	3	6
r5.power.n.07630	3	6
r5.power.n.07632	3	1
r5.power.n.07633	3	6
r5.power.n.07635	46	45
r5.power.n.07636	3	3
r5.power.n.07638	2	6
r5.power.n.07639	3	1
r5.power.n.07640	3	6
r5.power.n.07641	46	6
r5.power.n.07642	3	6
r5.power.n.07645	2	9
r5.power.n.07647	2	9
r5.power.n.07654	46	9
r5.power.n.07655	3	1
r5.power.n.07656	46	9
r5.power.n.07657	1	6
r5.power.n.07658	3	6
r5.power.n.07659	3	6
r5.power.n.07660	3	6
r5.power.n.07666	3	6
r5.power.n.07668	3	6
r5.power.n.07669	3	6
r5.power.n.07672	3	1
r5.power.n.07677	46	9
r5.power.n.07679	46	9
r5.power.n.07684	47	9
r5.power.n.07687	46	9
r5.power.n.07689	47	9
r5.power.n.07692	46	45
r5.power.n.07693	47	9
r5.power.n.07695	47	9
r5.power.n.07699	47	9
r5.power.n.07700	46	9
r5.power.n.07705	47	9
r5.power.n.07707	46	9
r5.power.n.07712	1&&3	3
r5.power.n.07714	47	9
r5.power.n.07715	47	9
r5.power.n.07716	3	3
r5.power.n.07717	3	1
r5.power.n.07718	2	9
r5.power.n.07721	1	1
r5.power.n.07722	3	4
r5.power.n.07727	3	3
r5.power.n.07730	46	45
r5.power.n.07731	46	45
r5.power.n.07734	6	6
r5.power.n.07735	6	6
r5.power.n.07738	1	1
r5.power.n.07739	44	6
r5.power.n.07741	44	6
r5.power.n.07742	46	6
r5.power.n.07743	46	6
r5.power.n.07746	3	6
r5.power.n.07747	44	6
r5.power.n.07749	2	6
r5.power.n.07752	1	1
r5.power.n.07754	3	1
r5.power.n.07755	3	3
r5.power.n.07756	1	1
r5.power.n.07758	1	4
r5.power.n.07759	1	1
r5.power.n.07760	8	8
r5.power.n.07761	1	1
r5.power.n.07762	1	4
r5.power.n.07767	8	8
r5.power.n.07768	1	1
r5.power.n.07770	1&&4	4
r5.power.n.07771	47	7
r5.power.n.07775	1	4
r5.power.n.07776	4	1
r5.power.n.07778	1	1
r5.power.n.07779	1	1
r5.power.n.07780	47	4
r5.power.n.07781	1	4
r5.power.n.07783	1	1
r5.power.n.07784	1	1
r5.power.n.07791	8	8
r5.power.n.07797	1	1
r5.power.n.07800	1	1
r5.power.n.07801	1	1
r5.power.n.07803	1	1
r5.power.n.07805	1	8
r5.power.n.07806	8	8
r5.power.n.07808	1	1
r5.power.n.07810	47	8
r5.power.n.07811	1	1
r5.power.n.07812	1	5
r5.power.n.07814	1	1
r5.power.n.07815	5	4
r5.power.n.07817	8	8
r5.power.n.07818	3	3
r5.power.n.07821	1	4
r5.power.n.07822	47	9
r5.power.n.07823	3	3
r5.power.n.07825	3	5
r5.power.n.07826	1	1
r5.power.n.07828	1	1
r5.power.n.07829	1	1
r5.power.n.07832	1	1
r5.power.n.07834	3	5
r5.power.n.07835	1	1
r5.power.n.07836	1	1
r5.power.n.07837	1	1
r5.power.n.07839	1	5
r5.power.n.07841	1	5
r5.power.n.07844	1	4
r5.power.n.07847	3	3
r5.power.n.07848	1	1
r5.power.n.07849	4	4
r5.power.n.07850	8	8
r5.power.n.07851	1	1
r5.power.n.07852	1	7
r5.power.n.07854	1	1
r5.power.n.07856	1	1
r5.power.n.07857	1	1
r5.power.n.07859	1&&4	4
r5.power.n.07860	3	1
r5.power.n.07863	1	4
r5.power.n.07865	1	1
r5.power.n.07866	1	1
r5.power.n.07868	1&&4	4
r5.power.n.07870	1	1
r5.power.n.07872	2	2
r5.power.n.07873	1	1
r5.power.n.07876	1	1
r5.power.n.07877	5	5
r5.power.n.07878	3	3
r5.power.n.07881	1&&4	4
r5.power.n.07884	47	47
r5.power.n.07885	3	1
r5.power.n.07886	1	1
r5.power.n.07887	1	1
r5.power.n.07888	46	9
r5.power.n.07889	1	1
r5.power.n.07893	1&&4	4
r5.power.n.07894	8	8
r5.power.n.07898	1	1
r5.power.n.07901	3	5
r5.power.n.07902	1&&4	4
r5.power.n.07907	47	7
r5.power.n.07908	8	8
r5.power.n.07909	1	1
r5.power.n.07913	1	1
r5.power.n.07916	1	1
r5.power.n.07917	1	1
r5.power.n.07921	5	4
r5.power.n.07922	1	5
r5.power.n.07923	3	3
r5.power.n.07924	1&&4	4
r5.power.n.07925	1	1
r5.power.n.07926	8	8
r5.power.n.07927	1&&3	1
r5.power.n.07928	5	4
r5.power.n.07930	1	4
r5.power.n.07932	1	1
r5.power.n.07933	1	1
r5.power.n.07934	1	1
r5.power.n.07936	2&&7	7
r5.power.n.07938	47	9
