,title,pros,cons,rating
10,"Пользуемся этим ноутом 4 месяца, Всё просто класс. Производительность бомба, перегрев и шум решается легко. Обновил биос, отключил Boost, и сделал андэрволтинг видео карты. Тихий и быстрый. Покупкой доволен. Рекомендую.",,,5
11,"Брали для роботи з офісними документами, автокадом, фотошоп. Основний акцент під автокад. Що можу сказати - завантажує все швидко, вентилятора практично не чутно. Про звук в мінусах, кришку теж. Дисплей мені подобається. Я скіільки перепробував сучасних ноутів з Full HD та матовим покриттям - купа тусклих екранів, не дуже добре читабельних (особливо це стосується Леново). Клавіатура крута, тачпад теж, корпус схожий на метал (передня частина). Замацується швидко, але видаляються плями теж легко. ССД тут від Самсунг, тому літає. 10-ка ліцензійна стала хв за 7. В ігри не граю, сказати нічого. Але думаю, що ССД на 256 і + на 1Тб шдд і армія шанувальників була б в рази більша.",за таку ціну крутий.,"якщо порівнювати з моїм стареньким Асером, то вага відчутніша на спині. Звук, як на мене, занадто об""ємний. Трохи бовтається кришка з дисплеєм. Якось не так чітко і не рухомо вона сидить, як на Асерах.",5
12,"Отличный ноутбук, летает","Шустрый, яркий, подсветка, начинка, клавиатура",Не обнаружены,5
13,Ноут за эти деньги хорош! WOT на ультрах. Для работы очень быстрый. Програмы открываются секунда. Екран хорош. Шумит средние. Аж удивлен был. В играх. Работать то тихий. Клавиатура мягкая и четкая.,"Сборка, екран, мощность.",На 1000грн. мог быть дешевле.,5
14,ракета! працювати і грати ігри одне задоволення,"Швидкість, IPS матриця, металевий корпус",шумить не критично,5
15,"нормальный ноут, работает шустро и быстро, особо написать ничего не могу, так как в игры не играю, использую его для работы. Где-то читал что сильно шумит охлаждение, у моего вентиляторы вообще не слышно.",,,5
16,Очень достойный ноут!,,,5
17,Відмінний ноутбук!,,,5
18,"Кто то сталкивался с проблемой установки Винды? Не видит загрузочную флешку хоть что делай... Убрал Security boot, но не могу поставить маркер на флешку в legacy boot order. На ютуб куча видео, все перепробовал, но проблема не решена. Флешка рабочая, переписывал и в mbr и в uefi - не помогает. Судя по тому, что я первый с таким отзывом, делаю что то не так. Нид хелп... Спасибо!",Пока не тестил,Пока не тестил,5
19,Здравствуйте. Может кто-то знает где можно купить шлейф для hdd?,Все супер,Нету шлейфа для hdd,5
20,відмінний ноутбук за хорошою ціною.,,,5
21,"Чудовий девайс за свої кошти. Відео дійсно 1050ті, хоча я чекав підвоху від розетки. Вживу гарніший ніж на фото, працює швидко. Чудовий варіант для тих, хто розуміється.","1050ті за смішні кошти 8300Н з 8 мб кеша 3 рівня Приємна зелена підсвітка Металевий(сплав) корпусу, гарна система охолодження","Озу встановлена 2х4гб Не регулюється яскравість підсвітки клавіш, як в тому ж легіоні.",5
22,"Купував на сайті rozetka, доставка бескоштовна та швидка. Дякую магазин за гарне обслуговування. Користуюся ноутбуком місяць, мені він подобається. При нагрузці чути роботу вентиляторів, але це не критично. Використовую операційну систему linux Fedora 31. Пробував ставити Debian так як я працював раніше на ньому, він почав глючити та злітати, не знаю навіть чому. Також ставив Ubuntu, вона теж якось не повністю коректно працювала. Попала на очі Fedora 31, вирішив спробувати встановити. Все запрацювало так як треба. Якщо хтось бажає встановити Linux, моя вам порада, ставте Fedora не пожалкуєте.",Мені подобається все.,Поки що не виявив.,5
23,"Купил ноутбук перед н.г. что могу сказать , отлично работает , игры 2018 года по-моему не очень уважает , на примере фар край 5 и ромб райдер идут практически на ультрах. Но, всегда есть это но . Через 20 минут (с подставкой вентилятором ) нагревается оч сильно . Скачал программу замерял температуру 95-98 градусов проц !!!!!!! Да вы чего ребята ??? Вопрос к представителям компании .зачем впихивать такое железо ,если система охлаждения не справляется даже в половину ?????!!!!!!!! Хотел уже вернуть.. но что он мне приглянулся... Решении проблемы . Через программу Trottlesstop делаем андервольтинг (да слово пугающее но на практике все просто ,каждый разберётся ) на -0.180 на процессор и -0.120 на кеш .и устанавливаем предел турбобуста на 3.5 ГГц Тогда температура падает до 84-92 градуса . Но мне показалось что и этого многовато . В этой же проге убираем турбо буст . Ну вот теперь нормально 60-75 в играх на тех же требованиях , при таком же ФПС 30-43 ,разница не вижу .  Ну какой вывод может быть . Не понимаю зачем человек купивший ноутбук (игровой) танцевать с бубном , шаманить в программах чтобы все работало не перегреваясь? При всем при этом процессор заявлен 4ггц а при отключении турбобуста получаем 2.2... В играх разница не заметил вообще ... Что странно . Ну вот и думацте . Играть нечего не делая и нагревать проц и карту на мах. И сколько прослужит аппарат? Год полтора ?если повезёт . Сделать андервольтинг и играть более менее температурах ? Но вроде тоже высокие ... Ещё и выключить турбобуст ,вроде разница если и ощутима то чуть чуть , но как-то обидно ,ты ведь купил проц 4 ГГц а не 2.2 ...",Довольно шустрый. Хорошее железо за эти деньги .интересный дизайн,Греется,4
24,"Ноутбук хороший. А вот обслуживание Розетки плохое. С ноутбуком не выслали ни гарантию, ни счет на товар. После длительных переговоров с call центром удалось все таки получить гарантию. Копию счета сбросили по электронной почте, а вот оригинал сказали что выслали почтой, но спустя месяц ничего не пришло. Смущает такой сервис, чем дороже товар, тем меньше ответственности.",,,4
25,а теперь о плохом: память 2Х4 Гига (оба слота заняты и теперь придется искать куда деть эти малоемкие планки ОЗУ) - HDD SATA - нет шлейфа подключения (найти - невозможно) - так что хочет расширить добавлением диска - обломс. знал бы заранее - не покупал бы :( - очень- проблемно расширить железо,"производительность, клавиатура, хорошая матрица экрана",надурилово,4
26,"Купил я значит этот ноутбук для рендеринга в мовави, где он практически быстро справляется со своей задачей, поставил ведьмак 3 на средних - 60фпс, но... температура видео и проца ~90*, ноут ну очень уж горячий, на ногах не полежит) подставка нада для игрух. Есть 2 засвета в левом углу, но они видны оолько когда черное изображение, а так ноут сам по себе шустрый, я доволен","Ссд, не слабый проц и дискретная карта, ипс экран, батарея держит 3 часа если не в игры играть, металический корпус(крышка матрицы пластиковая)","Очень уж греется в играх, нужна подставка, зарядка так же гарячая",4
27,"1. Функциональные кнопки (F1-F12) инвертированы относительно клавиши Fn (лечится через биос). 2. Все еще BIOS, а не UEFI. 3. Очень маркая поверхность (оставляет отпечатки). 4. Кнопка включения абсолютно неудобна. 5. Чтобы вставить флешку в юсб-порт, нужно приложить усилия. 6. Не проходит тест ""открыть одной рукой"".",Все характеристики соответствуют заявленным в описании,Несущественные неприятные мелочи :(,4
28,"І так, ноутбук непоганий, але як на мене міг би бути більш якісний. Клавіатура така ж погана як на моєму g5 за 6500. Яка через пару місяців почала вимахуватись і заліпати. Екран хороший, корпус маркий. Кришка екрану в мене відкривається з потріскуванням (думаю десь щось не в зазорах), сама матриця встановлена не рівно. Також прийшов вже з проблемою батарейки. Пише що емкість 97%. У мене так було на ноутбуку якому 2 роки і сотня підзарядок. Думаю ця проблема мені ще вилізе. Але здавати в СЦ нема коли, потрібен ноутбук для роботи кожен день. Тачпад непоганий, звук не сказав би що крутий, але теж непоганий. Встановлений лінукс (арч) і віндовс 10, всі драйвера без проблем. Гріється, дуже, але тільки в іграх. Шумить, порівняно нормально, але тільки під нагрузкою. У мене також трохи підвиває один вентилятор.","Швидкий, гта 5 на максималках тягне",Про недоліки у коментарі,4
29,"У вас у всех в ксго фпс скачет 180-80 ?   Неприятно играть, картинка разрывается. В других играх всё ок, кто-то сталкивался с такой проблемой ? Как решить?",,,4
30,"Лучший ноут за эту цену, искал во всех крупнейших магазинах","Цвет, подсветка, IPS, 1050 Ti, производительность",Шумит при нагрузке. Не положили гарантию,4
31,"Начал шуметь на низких оборотах через 2 недели((( подскажите пожалуйста не работает касание двух пальцев слайды в лево право(перед назад) дрова, все обновлял разные пробовал, но в настройках elan нету такой функции(((","Цена, качество, дизайн, мощность. Очень приятный и красивый.","Шумит, не работают слайды (вперёд назад) на точ паде. Очень греется ((",4
32,Підскажіть будь ласка як на цій моделі підкл ючити wifi? Через мережовий провід? Чи десь в налаштуваннях? Бо кнопки я так зрозумів немає там(.,Дизайн.,Для мене виникли проблеми з підключенням wifi(,4
33,"Хто купує одразу беріть охолоджуючу підставку,він гріється як духовка,хоча працює 3й місяць ідеально,але при такиих темперетурах скільки пропрацює це питання.","Малі розміри за рахунок малої рамки,відеокарта, хоч і не останньої моделі,але для нас бідних людей зійде як бюджетний геймерський.Дизайн.","Нагрів.Одного кулера на таку ""мощу"" не вистачає.",4
34,"Отличный ноутбук, мощный с интересным дизайном. Своих денег стоит однозначно. Из недостатков - без обновленных драйверов устраивает козни (мигает экран, не запускатся тяжолые программы), не понимание как включить на постоянную видюху от nvidia. Сама редко переключается из-за этого многие игры ругаются и не запускаются.","цена, качество сборки, мощное железо, SSD",греется,4
35,Танки тягне на високих в середньому 70 фпс.,,"Дуже гріється, зпереду посередені доторкнутись не можна.В грі вентилятори шумлять.",4
36,не можу поставити вінду на цей ноут,,,4
37,"Отличный ноутбук, мощный с интересным дизайном. Своих денег стоит однозначно.",,,4
38,"Система охлаждения не вывозит железо (нагрев проца до 100). Можете пошаманить программами, для снижения температур, ссылку на видео со способом добавил. Танцы при установке доп оп. памяти и hdd. Нижняя рамка экрана плохо приклеена, после большого кол-ва открытий/закрытий скорее всего отклеится (наверное можно будет потом приклеить и решить проблему). Играю редко, и недолго, так что нормально. Был бы дороже, не купил бы.","железо, экран (ips), подсветка клавиатуры","система охлаждения, нижняя рамка экрана",3
39,Через полтора месяца накрылся кулер ...,"Подсветка, начинка, ips","Кулер слабый, сильно греется; интернет разъем , вход для зарядки с правой стороны.",3
40,"Вирішив додати реальні показники батареї. Про які 10 годин може йтись в характеристиках то. На віндовс і лінукс однакові показники, на віндовс навіть трохи менше тримає. Але хто розбирається, то знає чому. Це в режимі повного простою.",Нижче у відгуку,У відгуку + на фото,3
41,Не плохо как за свои деньги,"Оперативка работает в 2х канальном режиме, ноут работает быстро, запускается тоже быстро, тротлинга особо не наблюдал, тянет пока что все игры на средних/высоких.","Через месяц сломался левый кулер, ноут вырубился из-за этого, отнес в сервисный центр, замена кулера занимает меньше часа времени, вторую неделю сервисный центр молчит, такую мелкую поломку устраняют.",3
42,Норм,"Ноут непоганий за такі гроші. Шустрий, корпус добре зібраний, клавіатура не прогинається, ігри менш більш пашут","Шумить, сильно гріється і ноут і блок(особливо при нагрузці) хрупкий екран.",3
43,,,,3
44,"Вчера забрал ноутбук. Пришел домой, поставил винду и всё было хорошо, но потом переодически начали искажаться цвета на матрице, но когда закрыл/открыл крышку всё стало, как раньше. Это брак или что ? Может ли Розетка мне поменять модель на новую(исправную) прошел 1 день с момента покупки ? Ответьте пожалуйста.","Процессор, клавиатура, вес, компактность, очень приятный звук","Экран, маленькая яркость и искажение цветов (скорее всего брак)",2
45,"Вопрос представителю, какой интерфейс ssd: PCI Express 3.0 x4 или PCI Express 4.0 x4 и Сколько поддерживает оперативной памяти материнская плата ?",+,+,5
46,Скільки фпс в відьмак 3,,,5
47,З чого зроблений корпус?,,,5
48,Как оформить кредит на этот ноут,,,5
49,А как сделать стоить ssd под m2 или hdd?,,,5
50,Майнкрафт на модах подойдёт?,,,5
51,Я ще не купив але ноут пушка по обзорах,Немає,Перегрівання,5
52,"@Linux Для тих хто хоче встановити лінукс є дві поради: 1. Запустити встановлення в режимі safe graphics 2. Підключитись до інтернету та перед встановленням відмітити пункти ""Download updates..."" і ""Install third-party software..."" . Драйвера на відеокарту підтягнуться і не буде ""замерзань"" системи після логіну користувача. Перевірено на ubuntu 19.04",,,4
53,"Хороший ноутбук, мощный. При наклоне монитора видно места повышенного давления корпуса монитора на саму матрицу. Нет в комплекте брекета ( кармана-держателя HDD или SSD ), а так же шлейфа. Официальный сервисный центр в Киеве сообщил цену от производителя HP, на данный момент, Брекет - 1459 грн, шлейф - 1470 грн. Итоговое впечатление от ноутбука - превосходный за свои деньги. SSD - Samsung MZVLB256HAHQ","Мощность, цена. Потрясающий SSD от Samsung.",SSD на 256 ( за такую цену глупо ждать большего объема ). Битый пиксель. Большой минус - отсутствие брекета и шлейфа для установки SSD. Неоправдано высокая стоимость брекета и шлейфа от оф. поставщика. Панель монитора кажется хлюпковатой. Требует бережного обращения.,4
54,"Покупал не на розетке, но там комменты мёртвые и купленные. Комп изрядно шумит. И это не мудрено, такое железо в таком тоненьком корпусе, на ОЧЕНЬ НИЗЕНЬКИХ РЕЗИНКАХ. реально над поверхностью 2-3 мм. Подставка выручает. Если поставить на коленки и врубить туже гта онлайн можно поджариться)))) Но другая беда. Пользуюсь почти 3 недели, и начал левый куллер как-то странно подвывать. В моментах нагрузки на карту конечно же. Они оба и так выли, а сейчас как будь-то бензопила там а не вентилятор. Такое впечатление вроде он чуть ось поменял. Рырырырырыры вместо вжжжжжжжжжж. В сервис надо или как?",Отличный ноут за свои деньги,"нет подсветки клавы, очень маркий",4
55,Очень грееться. Сильно шумит.,Цена,Куллеры,3
56,"Битый пиксель на матрице. Вопрос к представителю о классе матрицы на данном ноутбуке. Ноутбук хорош, тянет даже Escape from Tarkov.","Цена, мощность.",Новый ноутбук из коробки и уже с битым пикселем на матрице. Сервис розетки не отвечает на обращение 5 дней подряд.,2
57,"Первый мой ноутбук был НР, на средних оборотах шли классные игрушки, но постоянно перегревался и начинал тупить, купил подставку под него на 2 винта, через год стал сам отключаться (изз-за перегрева), через 3 года полетел северный мост, но я отдал в ремонт и мне его перепояли, через год северный мост от перегрева снова полетел... Короче вывод один - НР это не лучшие ноуты для игрушек, система охлаждения пассивная и не помогает даже с подставкой на 2 куллера.","дизайн, качественное железо",система охлаждения,2
58,"Взял 27.12.2019 Закачал винду 10, все дрова, качнул пару игрушек чтобы раскачать ноут и проверить как себя ведет, итог на следующий день начал замечать что в Дота 2 которая не требует много начало глючить, 15 секунд играю 3 вишу ну и так всегда, начал искать проблему, в итоге настроил все включаю видюху, процессор, электропитание не помогло, полез глубже, скачал программу Aida 64 поставил на стресс тест, итог глюки это было защитное отключение из за перегрева, даже стрес тест отключился и показал температуру 97 градусов ( экстренное отключение) так что отдал вчера я его обратно, ищу более надежное (на фото это все тротлинги)",Цене,"Перегрев, тротлинг,",1
59,"Сегодня получила, красивый, приятный внешне и на ощупь. Не большой и компактный. Как работать будет, уже после установки всех систем узнаем)",Выглядит достойно,Пока не обнаружено,5
60,"Соглашусь, что для своей ценовой категории, может и не плох. Но хочу предостеречь людей у которых чувствительные глаза и тех, кто собирается работать за ним длительное время - этот тип матрицы дисплея тогда не для вас. Я была вынуждена вернуть товар из-за этого(( Очень переживала по поводу возврата, но здесь к Розетке нет вопросов, все прошло гладко, спасибо.","низкая цена, достаточно стильный дизайн",качество экрана,3
61,После покупки не видит сетевого адаптера (Wi FI) Винда 8.1 Как быть?,,Не видит сетевой адаптер,2
62,"Вторая особенность этого чудо девайса - в нем нет разъёма для сетевого кабеля! То есть скачать драйвера для вайфая нельзя, да и самих драйверов нет",Нет,Все сказанное,1
63,"Как он, кто купил?",,,5
64,"Брав суто для офісної роботи і для кіно. На свої гроші ноут супер, ще й відкриваєтся на 180 градусів. Має додатковий вихід повітря зверху (між екраном та клавіатурою). Якщо дивитись кіно на колінах або в ліжку він не не грієтся, думаю обійтись без підставки. Одразу як я поставив віндовс підтягнув сам усі драйвера. Виглядає значно дорожче своєї ціни і в роботі не тормозить. Я задоволений.","процесор 4 ядра, достатньо бюджетний",На ту ціну їх небуває,5
65,"Питання що до ноутбуку 1-яка встановлега клавіатура 2-які градуси обзору у цього екрану і яка матриця 3-чи можна на ньому пограти у ігри наприклад war thunder чи csgo 4-як сам ноутбук працюе тобто ,як він відкликаеться на команди ,чи швидко працюють та запускаються програми 5-чи поміститься він у валенький рюкзак 6-на як довго достатьно аккамулятора 7-чи не перегріваеться ноутбук",+,-,5
66,"Купил для Мамы что б можно было связаться с родственниками по скайпу, что-то найти в инете и работать с текстом, она довольна, ноутбук очень дешевый и очень хороший, дискретной карты нет- но она и не нужна, озу хватает проц лучший что может стоять за эти деньги. Установил windows 10 без проблем, драйвера подтянулись сами, потом поставил утилиту от lenovo (vantage) через которую драйвера будут автоматически обновляться на новую версию.",Цена и качество,"нет проводного инета (решается переходником, да и то сейчас пользуется проводным нетом)",5
67,"10/10 для работы, все прекрасно, пользуюсь для создания веб комиксов, все прекрасно работает","Экран, скорость, энергоемкость, производительность",Нету,5
68,"Здравствуйте, будет возможность выбрать конфигурацию ноутбука?",,,4
69,Погано що немає оплати частинами.,,,4
70,С каждым годом железо только хуже :),,,2
71,Капец) разочарование за 30 к(((((,Нет,Ему цена 15 тысяч от силы...,1
72,"Подскажите, как и в предыдущей модели Acer aspire 5, не работает тачпад с коробки. Драйвера установлены с сайта Асер. На ноуте просто не находит такого устройства. В биосе так же ничего нет. Вин 10. При этом если зайти с флешки на linux там тач работает. Как его включить/установить на 10тку ?",Лёгкий,Не работает тачпад,4
73,Какой там Linux? Как работает отпечаток пальца?,,,5
74,Стоит ли брать для несложного монтажа в 1080p - 2160p?,Не знаю.,Не знаю.,5
75,"Получил вчера, доставка быстрая. Винда встала тоже быстро, первое впечатление шустрый ноут, но как и у многих выше не работает тачпад, дрова с оф сайта не помогли. Не плохо бы официалам скинуть ссылку на актуальные драйвера.",шустрый,не работает тачпад,3
76,"К внешнему виду, компактности и быстродействия этого ноута вопросов нет. Да и винда встала без вопросов (официальная) - подтянула все устройства, кроме тачпада. Причем, в диспетчере устройств вообще не отображается, что есть сенсорная панель. У меня с коробки ССД был размечен на С и Д. Производитель залил на диск Д драйвера. Но даже их принудительная установка не помогла решить проблему с тачпадом. Второй путь, как и писал представитель компании Асер, скачать драйвера с оф. сайта. Но они там такие же, как и на диске Д. Хотя, на всякий случай и их установил. Не помогло. Вообщем, если кто-то победил этот неуловимый тачпад, поделитесь, пожалуйста, рецептом. Или ссылку дайте где почитать. Вопрос к представителю компании Асер: Вам написали уже, если не ошибаюсь 6 человек. Я седьмой. Вы реально думаете, что столько людей не в состоянии установить один-единственный драйвер? Может хватит писать о ЮСБ мыши и драйверах с оф. сайта? Если знаете как решить проблему - изложите здесь же! Если нет - отзывайте партию. Вообщем, этот ноут - это мое знакомство с этим чудесным брендом. Если в течение пары дней не будет доступной информации о пути решения проблемы - ноут поедет обратно. На этом знакомство превратится в прощание.","Компактный, красивый","Не работает тачпад. С коробки. И система даже не видит, что такое ""устройство"" есть.",2
